tab 	samples
azimuth	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA001A	OA001
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA002A	OA002
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA002B	OA002
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA003B	OA003
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA003C	OA003
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA004A	OA004
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA005A	OA005
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA006A	OA006
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA007A	OA007
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA008A	OA008
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA009A	OA009
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA010A	OA010
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA011A	OA011
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA012A	OA012
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA013A	OA013
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA014A	OA014
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA015A	OA015
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA016A	OA016
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA016B	OA016
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA017A	OA017
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA018D	OA018
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA018F	OA018
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA019C	OA019
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA019D	OA019
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA020A	OA020
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA021A	OA021
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA022A	OA022
