tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_specimens	geologic_classes	geologic_types	height	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vgp_lat	vgp_lon
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.18355	Scoria	Hawaiian Islands	204.09937	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW300							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.17415	Basalt	Hawaiian Islands	204.10443	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW301							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.12897	Basalt	Hawaiian Islands	204.11603	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW302							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.10867	Basalt	Hawaiian Islands	204.1244	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW303							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.06933	Basalt	Hawaiian Islands	204.14788	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW304							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.05476	Basalt	Hawaiian Islands	204.15856	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW305							
0.19			0.035	Ma		This study								Extrusive	Volcanic Vent		3.68e-05	4.29e-05	3.08e-05				8	20.0447	Scoria	Hawaiian Islands	204.26563	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		HW306	BiCEP_GUI	HW306A01:HW306A02:HW306A03:HW306A04:HW306A05:HW306A06:HW306A07:HW306A08					
2.07			0.01	Ma		This study								Intrusive	Volcanic Dike		3.12e-05	3.92e-05	2.32e-05				7	21.13719	Basalt	Hawaiian Islands	202.84453	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML001	BiCEP_GUI	ML001A01:ML001B01:ML001A02:ML001A03:ML001A04:ML001B02:ML001B03					
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.13716	Basalt	Hawaiian Islands	202.84505	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML002							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.13783	Basalt	Hawaiian Islands	202.84787	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML003							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.1379	Basalt	Hawaiian Islands	202.84792	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML004							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.13859	Basalt	Hawaiian Islands	202.84988	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML005							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.13829	Basalt	Hawaiian Islands	202.84966	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML006							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.13837	Basalt	Hawaiian Islands	202.849	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML007							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.1381	Basalt	Hawaiian Islands	202.84834	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML008							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.1381	Basalt	Hawaiian Islands	202.84793	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML009							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.20558	Basalt	Hawaiian Islands	202.80681	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML010							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.20582	Basalt	Hawaiian Islands	202.80702	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML011							
1.61			0.015	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		2.9e-05	3.02e-05	2.81e-05	6.42e-07	2.14		6	21.08955	Scoria	Hawaiian Islands	202.98947	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML012	BiCEP_GUI	ML012A01:ML012A02:ML012A03:ML012A04:ML012A05:ML012A06					
1.9			0.05	Ma		This study								Extrusive	Volcanic Vent									21.17715	Scoria	Hawaiian Islands	202.78267	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML013							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									21.18307	Scoria	Hawaiian Islands	202.74977	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML014							
