tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	vadm	vadm_n_samples	vadm_sigma
0.1177	5.0	0.0	0.0179	Ma	This study		Extrusive:Igneous	Volcanic Other								33.12635	Basalt	Golan Heights	35.78227	LP-PI-TRM	b	GHI01				
0.1296	5.0	0.0	0.0006	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	2.52e-05			2.22e-06	8.83	3	3	33.15805	Basalt	Golan Heights	35.77673	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI02	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	4.73e+22		4.17e+21
0.842	5.0	0.0	0.01165	Ma	This study		Extrusive:Igneous	Volcanic Other								33.12279	Basalt	Golan Heights	35.72416	LP-PI-TRM	b	GHI03				
0.842	5.0	0.0	0.01165	Ma	This study		Extrusive:Igneous	Volcanic Other								33.12279	Basalt	Golan Heights	35.72416	LP-PI-TRM	b	GHI03A				
0.842	5.0	0.0	0.01165	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	6.87e-05			2.93e-06	4.27	7	7	33.12279	Basalt	Golan Heights	35.72416	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI03B	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	1.29e+23		5.5e+21
0.842	5.0	0.0	0.01165	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	4.74e-05			3.74e-06	7.88	4	4	33.12279	Basalt	Golan Heights	35.72416	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI03C	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	8.9e+22		7.02e+21
0.842	5.0	0.0	0.01165	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	5.88e-05			2.65e-07	0.45	3	3	33.12279	Basalt	Golan Heights	35.72416	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI03D	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	1.1e+23		4.98e+20
0.842	5.0	0.0	0.01165	Ma	This study		Extrusive:Igneous	Volcanic Other								33.12279	Basalt	Golan Heights	35.72416	LP-PI-TRM	b	GHI03E				
0.842	5.0	0.0	0.01165	Ma	This study		Extrusive:Igneous	Volcanic Other								33.12279	Basalt	Golan Heights	35.72416	LP-PI-TRM	b	GHI03F				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								32.91004	Basalt	Golan Heights	35.76312	LP-PI-TRM	b	GHI04				
0.1679	5.0	0.0	0.01275	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	2.3e-05			3.04e-06	13.22	9	8	32.96051	Basalt	Golan Heights	35.86224	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI05	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	4.33e+22		5.72e+21
